Language	Danish	Dutch	English	Finnish	French	German	Italian	Polish	Portuguese	Romanian	Spanish	Swedish	Vietnamese	Greek
Danish	1	0,30436617462663196	0,2055866178738119	0,1498294239637773	0,21753224692212175	0,22212252453634174	0,20198596970546936	0,16490177063093078	0,1451454122252295	0,16042569204752685	0,18506254631823987	0,4227610438931898	0,06166792619196935	0
Dutch	0,32889003693934654	1	0,29080871634412786	0,1178805742511654	0,2217890569246427	0,34696061310442167	0,20839896252577614	0,2045583841539334	0,16991809751718578	0,19656398575764883	0,17408901490826664	0,345380546345774	0,10383383786918257	0
English	0,2555627486170966	0,3307027443085506	1	0,11682924697444193	0,2687059227426632	0,31955026536243997	0,23594798791399055	0,18387738331901465	0,26288781496537705	0,2539027158132181	0,3217243094580668	0,28756546685351975	0,21324484425314535	0
Finnish	0,11878168099817832	0,09094268774325935	0,04905012170572533	1	0,0904027630663689	0,17260757466778115	0,07109621786035325	0,16979960087565515	0,05593686041750956	0,08148435728210714	0,0698666252592915	0,16162358421009582	0,030184108971343025	0
French	0,12395323598826283	0,11465705761335976	0,12169517112401411	0,0739985731797083	1	0,08656810272267683	0,2282594945414247	0,10040496746450463	0,25043915094459607	0,16204332303063373	0,18735845710246293	0,11780832107362708	0,07697433508869643	0
German	0,12932926367046158	0,18192317549094922	0,14123947893815525	0,1251315773274025	0,07550774521111539	1	0,09363723444188168	0,09579760491810094	0,08536613869189864	0,10198419963907782	0,10383987462559527	0,15647293791886	0,06505763985031343	0
Italian	0,1684713695274768	0,1625838854112108	0,15833929046782588	0,08001334821979558	0,3504854859630893	0,1432545781553161	1	0,191164441749484	0,310604043365422	0,28962561208669413	0,3131891296318871	0,1623896018756951	0,16896648940847914	0
Polish	0,07600987807684445	0,09705963041065635	0,06951145485429865	0,10115362910124165	0,08230934148028306	0,08707341373852759	0,11052822745549082	1	0,09310148655028312	0,07066255421336182	0,10227139247296771	0,07843878143299009	0,01989492886198336	0
Portuguese	0,11602739906507045	0,12353776169051804	0,15181849772451533	0,07908492830417418	0,30176603634009946	0,1219336603817216	0,24513175792806183	0,14865704121543794	1	0,19084957634309052	0,3904308974094092	0,13404889308609957	0,1523545786339393	0
Romanian	0,1432250308386349	0,15709073189282638	0,178857114625289	0,11019038334784513	0,24803136784893096	0,15885287148338997	0,27421080984683177	0,14066826195099325	0,23970299713349763	1	0,2597465250306601	0,16328735056144475	0,08117706284668302	0
Spanish	0,16345052991305556	0,15431089983336685	0,22188343611379366	0,10324114415577604	0,2826656723237896	0,17111184075329114	0,30366795281734543	0,1869482287408865	0,49902085880850783	0,2620751981119137	1	0,18806906784636843	0,151971944635109	0
Swedish	0,4173167180339775	0,3052540941363995	0,22618808975573332	0,2114549866250252	0,19530255494211518	0,2711390311008816	0,19488675985634935	0,1578794761607636	0,17128702161180182	0,18086253375203754	0,21526200060439338	1	0,06310863920124853	0
Vietnamese	0,012951113501164556	0,0178782128106523	0,025557414384291197	0,01031507062310702	0,017487704401929965	0,019015089268168524	0,026642318019375916	0,011226149426082115	0,029708086900991477	0,014840694231105563	0,025781920522194225	0,015243032469481773	1	0
Greek	0,008346334201768035	0,01193394830108328	0,0028846685940958146	0,008754759882329249	0,0027758617255783063	0,010153339967412781	0,006384552236714419	0,00991573841192545	0	0,0035839365967460604	0,002999011920147019	0,01082864323926204	0,008796886708622536	1
